Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
25-Jan-17,690.95,689.4740437,732,111,64.89,0.008759763,0.875976349,0.017498699,,
27-Jan-17,710.7,707.9774122,4073,266,48.71,0.028583834,2.858383385,0.017745595,,
30-Jan-17,706.05,706.8829268,410,58,67.32,-0.006542845,-0.654284508,0.017721472,,
31-Jan-17,698.2,699.1389728,331,52,80.97,-0.011118193,-1.111819276,0.017678738,,
01-Feb-17,719.8,715.3467025,5959,406,67.83,0.030936694,3.093669436,0.017966486,,
02-Feb-17,729.45,727.0652418,2667,330,46.38,0.013406502,1.340650181,0.018001114,,
03-Feb-17,739.6,738.577574,2836,281,58.71,0.013914593,1.391459319,0.018000013,,
06-Feb-17,734.6,745.7296925,10895,269,66.34,-0.006760411,-0.676041103,0.017968101,,
07-Feb-17,742.15,741.4894446,3079,189,72.3,0.010277702,1.027770215,0.017658665,,
08-Feb-17,736.8,738.045292,839,96,64.36,-0.007208785,-0.720878529,0.017556932,,
09-Feb-17,735.55,731.456216,4408,240,78.22,-0.001696526,-0.169652552,0.017476759,,
10-Feb-17,739.9,746.6900907,3088,252,54.5,0.005913942,0.591394195,0.017390353,,
13-Feb-17,723.8,724.5606783,1887,122,61.63,-0.021759697,-2.175969726,0.017553119,,
14-Feb-17,721.65,721.2721202,599,88,40.57,-0.002970434,-0.297043382,0.017518361,,
15-Feb-17,718,720.1605069,947,118,17,-0.005057854,-0.505785353,0.017527548,,
16-Feb-17,743,750.7663195,74512,3714,15.71,0.034818942,3.48189415,0.017899223,,
17-Feb-17,740,739.7430761,5741,507,27.21,-0.004037685,-0.403768506,0.017628325,,
20-Feb-17,735.55,736.7476516,2342,162,55.64,-0.006013514,-0.601351351,0.017586244,,
21-Feb-17,733.7,735.5780347,2941,156,72.12,-0.002515125,-0.251512474,0.017586642,,
22-Feb-17,739.6,742.802219,2073,167,57.98,0.008041434,0.804143383,0.017564568,,
